name,type,lat,lon,cuisine,source
Snack Corner,restaurant,12.8984603,77.6010688,,OSM
Athicas Canteen,fast_food,12.894213,77.6025681,,OSM
Chai-Unchai,cafe,12.8944356,77.6024475,,OSM
Unknown,restaurant,12.8973119,77.6015666,,OSM
Meals House,fast_food,12.8696335,77.6540449,,OSM
Food n Drinks,fast_food,12.8507304,77.6573836,,OSM
Evolve Electronic City,restaurant,12.8456194,77.6588954,regional,OSM
Sukh Sagar,restaurant,12.9333646,77.6230728,,OSM
Amruth Park Land,restaurant,12.8835332,77.7502633,,OSM
Shanti Sagar,restaurant,12.9606568,77.6385011,,OSM
Srinidhi Sagar,fast_food,12.9593353,77.6385869,,OSM
Nandhini,restaurant,12.9619513,77.6419064,,OSM
Nandhana,restaurant,12.9558995,77.6411692,,OSM
KFC,fast_food,12.9781109,77.6385637,chicken,OSM
Sukh Sagar,restaurant,12.9741824,77.5753745,,OSM
Simply Native,restaurant,12.9651393,77.6383211,,OSM
Subway,fast_food,12.9637134,77.6403936,sandwich,OSM
Adyar Ananda Bhavan,restaurant,12.9543746,77.5930172,,OSM
Koshy's,restaurant,12.9756318,77.6014761,,OSM
M M A Kababs,restaurant,12.9566296,77.7152069,indian,OSM
Unknown,restaurant,12.9563782,77.7108662,chinese,OSM
Pizza Hut,restaurant,12.9782249,77.640632,pizza,OSM
Cafe Coffee Day,cafe,12.9754961,77.6412437,coffee_shop,OSM
Konārk,restaurant,12.9688102,77.6021434,indian;chinese;regional,OSM
Kamat Nandanvan,restaurant,13.0492109,77.547547,,OSM
Old Madras Baking Company,cafe,12.9697383,77.6003775,,OSM
Hard Rock Cafe,restaurant,12.9762256,77.6014809,american,OSM
Sri Raghavendra,restaurant,12.9778503,77.5722059,South_Indian,OSM
Anand Sagar Punjabi Dhaba,restaurant,12.9760075,77.5763577,,OSM
Mavalli Tiffin Rooms,restaurant,12.9550389,77.5854279,,OSM
Hyderbad Biryani House,restaurant,12.9665538,77.6141032,,OSM
Ginger Greens,restaurant,13.0259923,77.6405519,,OSM
Dosa Camp,fast_food,13.0483946,77.5426609,,OSM
Cafe Coffee Day,cafe,13.0232081,77.6362938,coffee_shop,OSM
Pizza Hut,restaurant,13.0261391,77.6362268,pizza,OSM
Thambis's Inetcafé,cafe,13.0194682,77.6332105,,OSM
Cafe Moksh,cafe,13.028839,77.6349071,,OSM
Hallimane,restaurant,12.9955258,77.5717703,,OSM
Cafe Coffee Day,cafe,12.8514179,77.6583216,coffee_shop,OSM
Domino's,fast_food,12.8417186,77.6465145,pizza,OSM
Adiga's,restaurant,13.0055704,77.5713507,indian,OSM
Infinitea,cafe,12.9870759,77.5947417,,OSM
Yo China,restaurant,12.9504549,77.6999246,chinese,OSM
Rajasthani Parotha Point,fast_food,12.9514719,77.5774905,,OSM
Arya Vysya Refreshments,fast_food,12.9510029,77.5776381,,OSM
Unknown,restaurant,12.9506894,77.5786753,,OSM
Unknown,restaurant,12.9505258,77.5785913,,OSM
Unknown,restaurant,12.9507057,77.5784906,,OSM
Unknown,fast_food,12.9512912,77.5774906,,OSM
Unknown,restaurant,12.9522306,77.5897955,,OSM
Guru Sagar Hotel,restaurant,12.9951833,77.5396211,,OSM
Ganesh Upahara,fast_food,13.0468252,77.5494119,,OSM
Polar Bear,cafe,13.0281613,77.5732067,,OSM
Hav Mor,restaurant,13.02807,77.5729018,,OSM
Hyderabad House,restaurant,12.932679,77.6135844,indian,OSM
McDonald's,fast_food,12.9351086,77.611565,burger,OSM
KFC,fast_food,12.9343669,77.6107742,chicken,OSM
Nandhini Andhra Hotel,restaurant,12.9932643,77.5957899,,OSM
Cafe Coffee Day,cafe,13.0045673,77.5710992,coffee_shop,OSM
Pai Vihar,restaurant,12.9930635,77.5959522,,OSM
Papa John's,fast_food,13.0045524,77.5711963,pizza,OSM
Vishnu Sagar,restaurant,12.9901236,77.5722985,,OSM
Kolkata Chaat,fast_food,12.9953279,77.5712934,,OSM
MintLeaf,restaurant,12.9603346,77.6382904,,OSM
Emirates,restaurant,13.0192135,77.5572955,,OSM
Golconda Chimney,restaurant,12.9558807,77.7127803,indian,OSM
Bharath,restaurant,13.0521546,77.5515881,regional,OSM
Kadamba Veg,fast_food,13.051811,77.5517989,,OSM
Wah Paratha,restaurant,12.9262764,77.6698353,,OSM
Ganesh Darshan,restaurant,12.9309204,77.5840319,,OSM
Upahara Darshini,restaurant,12.9330581,77.584422,,OSM
Nagarjuna Chimney,restaurant,12.9330431,77.5843044,indian,OSM
La Casa,restaurant,12.9261789,77.5848245,italian,OSM
KFC,fast_food,12.9269294,77.5861832,chicken,OSM
The Only Place,restaurant,12.9732444,77.6033899,american;burger,OSM
Temple of The Senses,cafe,12.9751034,77.6028435,,OSM
Durga Restaurant,restaurant,13.0489683,77.5440769,,OSM
