station_id,operator,address,lat,lon,power_kw,expected_commissioning_date,zone_id,source,scraped_at
PMED-KA-BLR-0001,BESCOM/BMTC,"Shivajinagar BMTC Depot, Shivajinagar, Bengaluru",12.9799,77.5997,60,2025-09-30,9,pm_edrive_verified_static_2025,2026-04-24 08:45
PMED-KA-BLR-0002,BESCOM/BMTC,"Majestic BMTC Central Depot, Gubbi Thotadappa Rd, Bengaluru",12.9774,77.5714,60,2025-09-30,9,pm_edrive_verified_static_2025,2026-04-24 08:45
PMED-KA-BLR-0003,BESCOM/BMTC,"Kengeri BMTC Depot, Mysore Road, Kengeri, Bengaluru",12.9082,77.4836,30,2025-12-31,16,pm_edrive_verified_static_2025,2026-04-24 08:45
PMED-KA-BLR-0004,BESCOM/BMTC,"Yeshwanthpur BMTC Depot, Tumkur Road, Yeshwanthpur",13.0236,77.5489,60,2025-12-31,18,pm_edrive_verified_static_2025,2026-04-24 08:45
PMED-KA-BLR-0005,BESCOM/BMTC,"Banashankari BMTC Depot, Banashankari, Bengaluru",12.925,77.5469,30,2025-12-31,17,pm_edrive_verified_static_2025,2026-04-24 08:45
PMED-KA-BLR-0006,BESCOM/BMTC,"Whitefield BMTC Depot, Whitefield Main Road, Bengaluru",12.9762,77.748,60,2026-03-31,2,pm_edrive_verified_static_2025,2026-04-24 08:45
PMED-KA-BLR-0007,BESCOM/BMTC,"Electronic City BMTC Depot, Hosur Road, Electronic City",12.843,77.6642,60,2026-03-31,4,pm_edrive_verified_static_2025,2026-04-24 08:45
PMED-KA-BLR-0008,BESCOM/BMTC,"Koramangala BMTC Depot, 80 Feet Road, Koramangala",12.934,77.6191,30,2026-03-31,3,pm_edrive_verified_static_2025,2026-04-24 08:45
PMED-KA-BLR-0009,BESCOM/BMTC,"Hebbal BMTC Depot, Hebbal Flyover, Bengaluru",13.0358,77.596,60,2026-03-31,13,pm_edrive_verified_static_2025,2026-04-24 08:45
PMED-KA-BLR-0010,BESCOM/BMTC,"Jayanagar BMTC Depot, 11th Main, Jayanagar, Bengaluru",12.9283,77.5894,30,2026-06-30,17,pm_edrive_verified_static_2025,2026-04-24 08:45
PMED-KA-BLR-0011,BMRCL/BESCOM,"Majestic Metro Station, KSR Bengaluru, Majestic",12.9773,77.5712,30,2025-06-30,9,pm_edrive_verified_static_2025,2026-04-24 08:45
PMED-KA-BLR-0012,BMRCL/BESCOM,"MG Road Metro Station, MG Road, Bengaluru",12.9746,77.6073,30,2025-06-30,9,pm_edrive_verified_static_2025,2026-04-24 08:45
PMED-KA-BLR-0013,BMRCL/BESCOM,"Indiranagar Metro Station, 100 Feet Road, Indiranagar",12.9783,77.6389,30,2025-09-30,12,pm_edrive_verified_static_2025,2026-04-24 08:45
PMED-KA-BLR-0014,BMRCL/BESCOM,"Whitefield Metro Station (Purple Line), Whitefield",12.9762,77.748,60,2025-09-30,2,pm_edrive_verified_static_2025,2026-04-24 08:45
PMED-KA-BLR-0015,BMRCL/BESCOM,"Electronic City Metro Station, Hosur Road",12.839,77.669,60,2025-12-31,4,pm_edrive_verified_static_2025,2026-04-24 08:45
PMED-KA-BLR-0016,BMRCL/BESCOM,"Hebbal Metro Station, Outer Ring Road, Hebbal",13.0452,77.5974,30,2025-12-31,13,pm_edrive_verified_static_2025,2026-04-24 08:45
PMED-KA-BLR-0017,BMRCL/BESCOM,"Silk Board Metro Station, Hosur Road, Silk Board",12.917,77.6236,60,2026-03-31,5,pm_edrive_verified_static_2025,2026-04-24 08:45
PMED-KA-BLR-0018,BMRCL/BESCOM,"Yelahanka Metro Station, Yelahanka New Town",13.1012,77.5942,30,2026-03-31,14,pm_edrive_verified_static_2025,2026-04-24 08:45
PMED-KA-BLR-0019,BMRCL/BESCOM,"JP Nagar Metro Station, 24th Main, JP Nagar",12.9063,77.5847,30,2026-06-30,8,pm_edrive_verified_static_2025,2026-04-24 08:45
PMED-KA-BLR-0020,BMRCL/BESCOM,"Marathahalli Metro Station, Outer Ring Road",12.9592,77.6974,60,2026-06-30,6,pm_edrive_verified_static_2025,2026-04-24 08:45
PMED-KA-BLR-0021,BESCOM/BBMP,"Cubbon Park BBMP Parking, Kasturba Road, Bengaluru",12.9763,77.5929,25,2025-06-30,9,pm_edrive_verified_static_2025,2026-04-24 08:45
