zone_id,zone_name,lat_centroid,lon_centroid,area_km2,poi_score,it_park_count,mall_count,hotel_count,hospital_count,university_count,petrol_pump_count,footfall_composite,restaurant_count,ev_registrations,ev_growth_rate_yoy,charger_count_total,fast_charger_count,operators_present,slow_charger_count,planned_supply_6mo,price_psf_residential,price_psf_commercial,hcpi_estimated,new_projects_pipeline_count,new_projects_units_total,s_score,zone_archetype
1,BTM Layout,12.898382812500001,77.61369010416666,48.0,314.0,0,0,11,103,40,72,3.38,435,5234,1.097,4,1,"Unknown, Magenta Group, BESCOM, Honda e:swap",3,10,8700.0,11916.67,0.45,67.0,10270.0,1.0,commercial_transit
2,Tumkur Road,13.045907718120805,77.5305889261745,37.25,263.0,5,0,7,66,53,52,1.8,180,4384,1.097,3,0,"Unknown, Honda e:swap",3,3,7400.0,10000.0,0.4,17.0,1950.0,1.0,it_corridor
3,Indiranagar,12.97179,77.62751,6.25,395.5,6,2,117,38,8,12,19.7,330,6593,1.097,1,0,Unknown,1,0,8150.0,11250.0,0.45,0.0,0.0,1.0,it_corridor
4,MG Road,12.97125,77.607875,1.0,73.5,2,1,11,17,7,2,66.8,179,1225,1.097,2,0,Unknown,2,1,8150.0,11250.0,0.45,0.0,0.0,1.0,commercial_transit
5,Rajajinagar,12.979508823529413,77.59527352941177,21.25,842.5,8,0,115,212,114,42,8.6,490,14045,1.097,3,0,Unknown,3,2,8150.0,11250.0,0.45,0.0,0.0,1.0,it_corridor
6,Koramangala,12.9628125,77.6154375,2.0,74.5,2,18,7,5,3,3,30.41,163,1242,1.097,1,0,Unknown,1,0,8150.0,11250.0,0.45,0.0,0.0,1.0,premium_commercial
7,Sarjapur Road,12.90772265625,77.71525390625,32.0,142.0,1,0,16,21,17,42,2.83,243,2367,1.097,5,4,"êpump, Bolt Earth",1,6,8000.0,11333.33,0.57,73.0,15400.0,1.0,commercial_transit
8,Jayanagar,12.965875,77.62636111111111,9.0,225.5,6,36,22,34,7,19,13.14,317,3759,1.097,0,0,None,0,0,8150.0,11250.0,0.45,0.0,0.0,1.0,it_corridor
9,Marathahalli,12.976312499999999,77.68075,2.0,161.0,39,1,14,3,1,1,17.35,93,2684,1.097,2,1,"Shell, Jio BP",1,3,7650.0,10250.0,0.48,25.0,4100.0,1.0,it_corridor
10,Bellandur,12.97287,77.63543,6.25,127.5,8,2,16,19,12,13,13.79,231,2125,1.097,4,1,"Ather Energy, Unknown, Honda e:swap",3,2,13000.0,19000.0,0.44,5.0,410.0,1.0,it_corridor
11,Whitefield ITPL,13.010150602409638,77.70238554216867,41.5,300.0,0,0,17,79,42,76,1.97,219,5001,1.097,4,0,"BESCOM, Unknown, Sun Mobility",4,4,6350.0,8900.0,0.43,34.0,5740.0,1.0,commercial_transit
12,Hebbal,12.978,77.57625,0.5,117.5,2,1,42,1,2,0,23.88,32,1959,1.097,5,1,"Ather, Unknown, Honda e:swap",4,6,10000.0,13500.0,0.3,11.0,980.0,1.0,commercial_transit
13,Outer Ring Road,12.968578125,77.65588541666666,24.0,480.5,96,0,23,48,22,30,4.4,283,8010,1.097,0,0,None,0,1,8150.0,11250.0,0.45,0.0,0.0,1.0,it_corridor
14,Kengeri,12.94167050209205,77.53639225941423,59.75,642.5,7,0,9,222,94,125,2.75,440,10711,1.097,1,0,Unknown,1,5,5200.0,6500.0,0.35,10.0,1300.0,1.0,it_corridor
15,HSR Layout,12.9602109375,77.623171875,16.0,313.5,3,0,34,102,29,23,27.31,1171,5226,1.097,0,0,None,0,0,8150.0,11250.0,0.45,0.0,0.0,1.0,commercial_transit
16,JP Nagar,12.9639375,77.6223125,2.0,67.5,1,4,13,12,2,3,93.85,503,1125,1.097,0,0,None,0,0,8150.0,11250.0,0.45,0.0,0.0,1.0,premium_commercial
17,Yelahanka,13.06719642857143,77.61168080357143,56.0,394.5,1,0,17,93,91,73,2.95,443,6576,1.097,2,0,Unknown,2,11,6500.0,8700.0,0.5,120.0,21500.0,1.0,commercial_transit
18,Electronic City,12.953395161290322,77.64242741935485,7.75,310.0,66,3,22,12,14,12,11.22,233,5168,1.097,0,0,None,0,1,8150.0,11250.0,0.45,0.0,0.0,1.0,it_corridor
19,Hoskote,12.94965,77.63345,1.25,46.0,5,0,5,0,11,2,7.16,24,767,1.097,5,0,"Unknown, ChargePoint",5,2,12500.0,18000.0,0.48,8.0,950.0,1.0,it_corridor
20,Devanahalli,12.97125,77.60925,0.25,44.5,1,6,10,0,3,0,100.0,67,742,1.097,1,0,Honda e:swap,1,0,14000.0,22000.0,0.42,3.0,280.0,1.0,premium_commercial
