zone_id,zone_name,lat_centroid,lon_centroid,area_km2,poi_score,it_park_count,mall_count,hotel_count,hospital_count,university_count,petrol_pump_count,footfall_composite,restaurant_count,ev_registrations,ev_growth_rate_yoy,charger_count_total,fast_charger_count,operators_present,slow_charger_count,planned_supply_6mo,price_psf_residential,price_psf_commercial,hcpi_estimated,new_projects_pipeline_count,new_projects_units_total,s_score,zone_archetype,S_eff,congestion_index,fast_desert_flag,CI_norm,supply_gap,supply_gap_norm,footfall_norm,s_score_norm,site_score,site_rank,deployment_priority,predicted_ci_t12,ev_density,ev_density_norm,spike_factor,cds_score,mobile_priority,mobile_product
1,BTM Layout,12.898382812500001,77.61369010416666,48.0,314.0,0,0,11,103,40,72,3.38,435,5234,1.097,4,1,"Unknown, Magenta Group, BESCOM, Honda e:swap",3,10,8700.0,11916.67,0.45,67.0,10270.0,1.0,commercial_transit,0.6835,647.987,0,0.14145329754171362,1046.8,0.11658807857399614,0.016089613034623217,1.0,24.4,14,Tier-3 (Strategic),734.392,109.04,0.009123237851941845,0.0,0.006,17,160 kW mobile
2,Tumkur Road,13.045907718120805,77.5305889261745,37.25,263.0,5,0,7,66,53,52,1.8,180,4384,1.097,3,0,"Unknown, Honda e:swap",3,3,7400.0,10000.0,0.4,17.0,1950.0,1.0,it_corridor,0.0421,2992.597,1,0.7255650570818204,1096.0,0.12283001712727042,0.0,1.0,47.7,5,Tier-1 (Deploy Now),1979.134,117.69,0.0113734804358967,0.0,0.005,18,120 kW mobile
3,Indiranagar,12.97179,77.62751,6.25,395.5,6,2,117,38,8,12,19.7,330,6593,1.097,1,0,Unknown,1,0,8150.0,11250.0,0.45,0.0,0.0,1.0,it_corridor,0.9235,624.837,1,0.1356859472218935,3296.5,0.4020045249825555,0.18228105906313644,1.0,35.2,8,Tier-2 (6-12 months),619.06,1054.88,0.25517750902048114,0.0,2.513,5,120 kW mobile
4,MG Road,12.97125,77.607875,1.0,73.5,2,1,11,17,7,2,66.8,179,1225,1.097,2,0,Unknown,2,1,8150.0,11250.0,0.45,0.0,0.0,1.0,commercial_transit,0.6896,150.488,1,0.017511568955960115,408.3333333333333,0.035586661873850255,0.6619144602851323,1.0,26.7,12,Tier-3 (Strategic),135.479,1225.0,0.2994331469837644,0.0,6.667,3,160 kW mobile
5,Rajajinagar,12.979508823529413,77.59527352941177,21.25,842.5,8,0,115,212,114,42,8.6,490,14045,1.097,3,0,Unknown,3,2,8150.0,11250.0,0.45,0.0,0.0,1.0,it_corridor,0.5847,1989.725,1,0.47571995341276413,3511.25,0.4292495718182395,0.06924643584521385,1.0,47.9,4,Tier-1 (Deploy Now),1232.594,660.94,0.15269651901780162,0.0,0.328,11,120 kW mobile
6,Koramangala,12.9628125,77.6154375,2.0,74.5,2,18,7,5,3,3,30.41,163,1242,1.097,1,0,Unknown,1,0,8150.0,11250.0,0.45,0.0,0.0,1.0,premium_commercial,0.7707,138.365,1,0.014491370773360573,621.0,0.06256739898082168,0.29134419551934826,1.0,21.8,16,Tier-3 (Strategic),136.959,621.0,0.14230638158391062,0.0,2.164,6,160 kW mobile
7,Sarjapur Road,12.90772265625,77.71525390625,32.0,142.0,1,0,16,21,17,42,2.83,243,2367,1.097,5,4,"êpump, Bolt Earth",1,6,8000.0,11333.33,0.57,73.0,15400.0,1.0,commercial_transit,1.1664,181.301,0,0.02518799942700191,394.5,0.03383164527519929,0.010488798370672098,1.0,17.2,19,Tier-3 (Strategic),213.278,73.97,0.0,0.0,0.0,20,160 kW mobile
8,Jayanagar,12.965875,77.62636111111111,9.0,225.5,6,36,22,34,7,19,13.14,317,3759,1.097,0,0,None,0,0,8150.0,11250.0,0.45,0.0,0.0,1.0,it_corridor,0.8878,369.126,1,0.07198076719461381,3759.0,0.4606812847567293,0.1154786150712831,1.0,33.4,9,Tier-2 (6-12 months),351.36,417.67,0.0894113729601486,0.0,1.175,10,120 kW mobile
9,Marathahalli,12.976312499999999,77.68075,2.0,161.0,39,1,14,3,1,1,17.35,93,2684,1.097,2,1,"Shell, Jio BP",1,3,7650.0,10250.0,0.48,25.0,4100.0,1.0,it_corridor,0.8889,263.27,0,0.04560890389202723,894.6666666666666,0.09728712494449494,0.15835030549898169,1.0,22.1,15,Tier-3 (Strategic),243.163,1342.0,0.32986995418870296,0.0,1.908,7,120 kW mobile
10,Bellandur,12.97287,77.63543,6.25,127.5,8,2,16,19,12,13,13.79,231,2125,1.097,4,1,"Ather Energy, Unknown, Honda e:swap",3,2,13000.0,19000.0,0.44,5.0,410.0,1.0,it_corridor,1.108,170.633,0,0.022530284817419144,425.0,0.037701139703550206,0.1220977596741344,1.0,18.9,18,Tier-3 (Strategic),186.804,340.0,0.0692060155617932,0.0,0.191,13,120 kW mobile
