zone_id,zone_name,lat,lon,division,SAIFI,SAIDI,s_score,data_source,note
1,HSR Layout Sector 1,12.9116,77.6389,South,,,1.0,fallback_uniform,BESCOM SAIFI/SAIDI not publicly available at zone level. Uniform S_score per playbook Section Track 6.
2,Whitefield ITPL,12.9698,77.75,East,,,1.0,fallback_uniform,BESCOM SAIFI/SAIDI not publicly available at zone level. Uniform S_score per playbook Section Track 6.
3,Koramangala 5th Block,12.9279,77.6271,South,,,1.0,fallback_uniform,BESCOM SAIFI/SAIDI not publicly available at zone level. Uniform S_score per playbook Section Track 6.
4,Electronic City Phase 1,12.8458,77.6603,South,,,1.0,fallback_uniform,BESCOM SAIFI/SAIDI not publicly available at zone level. Uniform S_score per playbook Section Track 6.
5,Sarjapur Road,12.9072,77.6822,South-East,,,1.0,fallback_uniform,BESCOM SAIFI/SAIDI not publicly available at zone level. Uniform S_score per playbook Section Track 6.
6,Marathahalli,12.956,77.7013,East,,,1.0,fallback_uniform,BESCOM SAIFI/SAIDI not publicly available at zone level. Uniform S_score per playbook Section Track 6.
7,Rajajinagar,12.9862,77.5517,West,,,1.0,fallback_uniform,BESCOM SAIFI/SAIDI not publicly available at zone level. Uniform S_score per playbook Section Track 6.
8,JP Nagar Phase 1,12.9002,77.5929,South,,,1.0,fallback_uniform,BESCOM SAIFI/SAIDI not publicly available at zone level. Uniform S_score per playbook Section Track 6.
9,MG Road,12.9756,77.6097,Central,,,1.0,fallback_uniform,BESCOM SAIFI/SAIDI not publicly available at zone level. Uniform S_score per playbook Section Track 6.
10,Indiranagar,12.9784,77.6408,East,,,1.0,fallback_uniform,BESCOM SAIFI/SAIDI not publicly available at zone level. Uniform S_score per playbook Section Track 6.
11,Bellandur,12.9348,77.6689,South-East,,,1.0,fallback_uniform,BESCOM SAIFI/SAIDI not publicly available at zone level. Uniform S_score per playbook Section Track 6.
12,Hebbal,13.0353,77.597,North,,,1.0,fallback_uniform,BESCOM SAIFI/SAIDI not publicly available at zone level. Uniform S_score per playbook Section Track 6.
13,Yelahanka,13.1007,77.5963,North,,,1.0,fallback_uniform,BESCOM SAIFI/SAIDI not publicly available at zone level. Uniform S_score per playbook Section Track 6.
14,Devanahalli,13.2479,77.711,North-East,,,1.0,fallback_uniform,BESCOM SAIFI/SAIDI not publicly available at zone level. Uniform S_score per playbook Section Track 6.
15,Jayanagar,12.9257,77.5933,South,,,1.0,fallback_uniform,BESCOM SAIFI/SAIDI not publicly available at zone level. Uniform S_score per playbook Section Track 6.
16,BTM Layout,12.9166,77.6101,South,,,1.0,fallback_uniform,BESCOM SAIFI/SAIDI not publicly available at zone level. Uniform S_score per playbook Section Track 6.
17,Kengeri,12.9144,77.4822,West,,,1.0,fallback_uniform,BESCOM SAIFI/SAIDI not publicly available at zone level. Uniform S_score per playbook Section Track 6.
18,Tumkur Road NH-48,13.0358,77.556,North-West,,,1.0,fallback_uniform,BESCOM SAIFI/SAIDI not publicly available at zone level. Uniform S_score per playbook Section Track 6.
19,Outer Ring Road,12.9141,77.643,South-East,,,1.0,fallback_uniform,BESCOM SAIFI/SAIDI not publicly available at zone level. Uniform S_score per playbook Section Track 6.
20,Hoskote,13.0711,77.7998,East,,,1.0,fallback_uniform,BESCOM SAIFI/SAIDI not publicly available at zone level. Uniform S_score per playbook Section Track 6.
