rto_code,rto_name,year,ev_registrations
KA1,Bengaluru Central RTO ,2024,13046
KA3,Bengaluru East RTO ,2024,13032
KA4,Bengaluru North RTO ,2024,11937
KA5,Bengaluru South RTO ,2024,23117
KA2,Bengaluru West RTO ,2024,12619
KA41,Jananabharathi RTO ,2024,4282
KA51,Electronic City TRO ,2024,10910
KA1,Bengaluru Central RTO ,2025,14827
KA3,Bengaluru East RTO ,2025,15074
KA4,Bengaluru North RTO ,2025,12098
KA5,Bengaluru South RTO ,2025,23736
KA2,Bengaluru West RTO ,2025,14663
KA41,Jananabharathi RTO ,2025,4342
KA51,Electronic City TRO ,2025,12839
